#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium intracellulare subsp. yongonense","Bacteria;Terrabacteria group;Actinobacteria","Asan 36527","SAMN04390159","PRJNA308265","GCA_002148195.1","Complete",5.43515,68,"chromosome:NZ_CP015965.1/CP015965.1",,1,4937,"2017-05-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/148/195/GCA_002148195.1_ASM214819v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/148/195/GCF_002148195.1_ASM214819v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","DSM 44623","SAMN01174703","PRJNA314008","GCA_002219285.1","Complete",6.1336,67.7078,"chromosome:NZ_CP015278.1/CP015278.1; plasmid unnamed 1:NZ_CP015279.1/CP015279.1; plasmid unnamed 2:NZ_CP015280.1/CP015280.1",,3,5558,"2017-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/219/285/GCA_002219285.1_ASM221928v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/219/285/GCF_002219285.1_ASM221928v1"
"Mycobacterium paraintracellulare","Bacteria;Terrabacteria group;Actinobacteria","MOTT64","SAMN02603185","PRJNA82155","GCA_000276825.1","Complete",5.50109,68.1,"chromosome:NC_016948.1/CP003324.1",,1,5078,"2012-02-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/825/GCA_000276825.1_ASM27682v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/825/GCF_000276825.1_ASM27682v1"
"Mycobacterium marseillense","Bacteria;Terrabacteria group;Actinobacteria","FLAC0026","SAMN07528776","PRJNA315990","GCA_002285715.1","Complete",5.28564,67.787,"chromosome:NZ_CP023147.1/CP023147.1; plasmid pFLAC0026:NZ_CP023148.1/CP023148.1",,2,4825,"2017-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/715/GCA_002285715.1_ASM228571v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/715/GCF_002285715.1_ASM228571v1"
"Mycobacterium dioxanotrophicus","Bacteria;Terrabacteria group;Actinobacteria","PH-06","SAMN06134492","PRJNA357161","GCA_002157835.1","Complete",8.08042,66.4321,"chromosome:NZ_CP020809.1/CP020809.1; plasmid unnamed1:NZ_CP020810.1/CP020810.1; plasmid unnamed2:NZ_CP020811.1/CP020811.1; plasmid unnamed3:NZ_CP020812.1/CP020812.1; plasmid unnamed4:NZ_CP020813.1/CP020813.1",,5,7365,"2017-05-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/835/GCA_002157835.1_ASM215783v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/835/GCF_002157835.1_ASM215783v1"
"Mycobacterium lepraemurium","Bacteria;Terrabacteria group;Actinobacteria","Hawaii","SAMN06841017","PRJNA384500","GCA_002291465.1","Complete",4.05052,69,"chromosome:NZ_CP021238.1/CP021238.1",,1,2589,"2017-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/291/465/GCA_002291465.1_ASM229146v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/291/465/GCF_002291465.1_ASM229146v1"
"Mycobacterium shigaense","Bacteria;Terrabacteria group;Actinobacteria","JCM 32072","SAMD00081394","PRJDB5818","GCA_002356315.1","Complete",5.23266,67.3,"chromosome:NZ_AP018164.1/AP018164.1",,1,4667,"2017-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/315/GCA_002356315.1_ASM235631v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/315/GCF_002356315.1_ASM235631v1"
"Mycobacterium grossiae","Bacteria;Terrabacteria group;Actinobacteria","DSM 104744","SAMN12660232","PRJNA562964","GCA_008329645.1","Complete",5.6816,70.4669,"chromosome:NZ_CP043474.1/CP043474.1; plasmid pGP01:NZ_CP043475.1/CP043475.1",,2,5251,"2019-09-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/329/645/GCA_008329645.1_ASM832964v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/645/GCF_008329645.1_ASM832964v1"
"Mycobacterium basiliense","Bacteria;Terrabacteria group;Actinobacteria","901379","SAMEA104628733","PRJEB23647","GCA_900292015.1","Complete",5.60763,65,"chromosome I:LR130759.1",,1,4800,"2018-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/292/015/GCA_900292015.1_MB901379","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/292/015/GCF_900292015.1_MB901379"
"Mycobacterium shigaense","Bacteria;Terrabacteria group;Actinobacteria","SCY","SAMN07510626","PRJNA398420","GCA_003515645.1","Complete",5.20788,67.2,"chromosome:NZ_CP022927.1/CP022927.1",,1,4609,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/645/GCA_003515645.1_ASM351564v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/645/GCF_003515645.1_ASM351564v1"
"Mycobacterium sp. ELW1","Bacteria;Terrabacteria group;Actinobacteria","ELW1","SAMN09980424","PRJNA489466","GCA_008329905.1","Complete",6.46774,66.6589,"chromosome:NZ_CP032155.1/CP032155.1; plasmid pELW1-1:NZ_CP032156.1/CP032156.1",,2,5874,"2019-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/329/905/GCA_008329905.1_ASM832990v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/905/GCF_008329905.1_ASM832990v1"
"Mycobacterium xenopi","Bacteria;Terrabacteria group;Actinobacteria","JCM 15661T","SAMD00197529","PRJDB9078","GCA_009936235.1","Complete",4.91765,65.9,"chromosome:AP022314.1",,1,4898,"2019-12-25T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/235/GCA_009936235.1_ASM993623v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/936/235/GCF_009936235.1_ASM993623v1"
"Mycobacterium leprae Kyoto-2","Bacteria;Terrabacteria group;Actinobacteria","Kyoto-2","SAMD00011899","PRJNA65803","GCA_003584725.1","Complete",3.26812,57.8,"chromosome:NZ_AP014567.1/AP014567.1",,1,2012,"2017-12-21T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/725/GCA_003584725.1_ASM358472v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/725/GCF_003584725.1_ASM358472v1"
"Mycobacterium marinum","Bacteria;Terrabacteria group;Actinobacteria","CCUG20998","SAMN07792364","PRJNA414525","GCA_003391395.1","Complete",6.45331,65.7,"chromosome:NZ_CP024190.1/CP024190.1",,1,5218,"2018-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/391/395/GCA_003391395.1_ASM339139v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/391/395/GCF_003391395.1_ASM339139v1"
"Mycobacterium ulcerans Agy99","Bacteria;Terrabacteria group;Actinobacteria","Agy99","SAMN02603346","PRJNA16230","GCA_000013925.2","Complete",5.80576,65.419,"chromosome:NC_008611.1/CP000325.1; plasmid pMUM001:NC_005916.1/BX649209.1",,2,3880,"2006-12-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/925/GCA_000013925.2_ASM1392v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/925/GCF_000013925.1_ASM1392v2"
"Mycobacterium avium subsp. avium","Bacteria;Terrabacteria group;Actinobacteria","DSM 44156","SAMN13352280","PRJNA591110","GCA_009741445.1","Complete",4.95693,69.3,"chromosome:NZ_CP046507.1/CP046507.1",,1,4454,"2019-12-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/741/445/GCA_009741445.1_ASM974144v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/741/445/GCF_009741445.1_ASM974144v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","H87","SAMN06111833","PRJNA356305","GCA_001936215.1","Complete",5.62662,68.8,"chromosome:NZ_CP018363.1/CP018363.1",,1,4951,"2017-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/215/GCA_001936215.1_ASM193621v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/215/GCF_001936215.1_ASM193621v1"
"Mycobacterium ulcerans","Bacteria;Terrabacteria group;Actinobacteria","SGL03","SAMEA5169402","PRJEB30333","GCA_900638745.1","Complete",5.62518,65.5,"chromosome 1:NZ_LR135168.1/LR135168.1",,1,3869,"2019-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/745/GCA_900638745.1_SGL03","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/745/GCF_900638745.1_SGL03"
"Mycobacterium leprae Br4923","Bacteria;Terrabacteria group;Actinobacteria","","SAMEA2271916","PRJEA31271","GCA_000026685.1","Complete",3.26807,57.8,"chromosome:NC_011896.1/FM211192.1",,1,2131,"2009-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/685/GCA_000026685.1_ASM2668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/685/GCF_000026685.1_ASM2668v1"
"Mycobacterium intracellulare","Bacteria;Terrabacteria group;Actinobacteria","FLAC0181","SAMN07528789","PRJNA315990","GCA_002285675.1","Complete",5.63864,67.8886,"chromosome:NZ_CP023149.1/CP023149.1; plasmid pFLAC0181:NZ_CP023150.1/CP023150.1",,2,5192,"2017-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/675/GCA_002285675.1_ASM228567v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/675/GCF_002285675.1_ASM228567v1"
"Mycobacterium sp. EPa45","Bacteria;Terrabacteria group;Actinobacteria","EPa45","SAMN03758429","PRJNA285733","GCA_001021385.1","Complete",6.17741,66.4,"chromosome:NZ_CP011773.1/CP011773.1",,1,5739,"2015-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/385/GCA_001021385.1_ASM102138v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/385/GCF_001021385.1_ASM102138v1"
"Mycobacterium sp. WY10","Bacteria;Terrabacteria group;Actinobacteria","WY10","SAMN06011242","PRJNA353164","GCA_001886515.1","Complete",6.04141,66.5,"chromosome:NZ_CP018043.1/CP018043.1",,1,5709,"2016-11-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/515/GCA_001886515.1_ASM188651v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/515/GCF_001886515.1_ASM188651v1"
"Mycobacterium leprae","Bacteria;Terrabacteria group;Actinobacteria","MRHRU-235-G","SAMN09104579","PRJNA470766","GCA_003253775.1","Complete",3.18711,57.8,"chromosome:NZ_CP029543.1/CP029543.1",,1,2142,"2018-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/253/775/GCA_003253775.1_ASM325377v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1"
"Mycobacterium avium 104","Bacteria;Terrabacteria group;Actinobacteria","104","SAMN02603981","PRJNA88","GCA_000014985.1","Complete",5.47549,69,"chromosome:NC_008595.1/CP000479.1",,1,4881,"2006-11-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/985/GCA_000014985.1_ASM1498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/985/GCF_000014985.1_ASM1498v1"
"Mycobacterium marinum","Bacteria;Terrabacteria group;Actinobacteria","1218R","SAMN07811443","PRJNA414948","GCA_003391415.1","Complete",6.46736,65.7,"chromosome:NZ_CP025779.1/CP025779.1",,1,5249,"2018-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/391/415/GCA_003391415.1_ASM339141v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/391/415/GCF_003391415.1_ASM339141v1"
"Mycobacterium intracellulare","Bacteria;Terrabacteria group;Actinobacteria","FLAC0133","SAMN07528783","PRJNA315990","GCA_002285695.1","Complete",5.43206,68,"chromosome:NZ_CP023146.1/CP023146.1",,1,5019,"2017-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/695/GCA_002285695.1_ASM228569v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/695/GCF_002285695.1_ASM228569v1"
"Mycobacterium sp. PYR15","Bacteria;Terrabacteria group;Actinobacteria","PYR15","SAMN06858920","PRJNA385068","GCA_002335685.1","Complete",6.03702,66.5,"chromosome:NZ_CP023435.1/CP023435.1",,1,5694,"2017-09-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/335/685/GCA_002335685.1_ASM233568v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/335/685/GCF_002335685.1_ASM233568v1"
"Mycobacterium intracellulare subsp. yongonense","Bacteria;Terrabacteria group;Actinobacteria","Asan 36912","SAMN04390158","PRJNA308264","GCA_002148175.1","Complete",5.44554,68,"chromosome:CP015964.1",,1,5156,"2017-05-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/148/175/GCA_002148175.1_ASM214817v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/148/175/GCF_002148175.1_ASM214817v1"
"Mycobacterium sp. YC-RL4","Bacteria;Terrabacteria group;Actinobacteria","YC-RL4","SAMN04959083","PRJNA320914","GCA_001644575.1","Complete",6.05398,67.4249,"chromosome:NZ_CP015596.1/CP015596.1; plasmid pMYC1:NZ_CP015597.1/CP015597.1",,2,5663,"2016-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/575/GCA_001644575.1_ASM164457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/644/575/GCF_001644575.1_ASM164457v1"
"Mycobacterium intracellulare MOTT-02","Bacteria;Terrabacteria group;Actinobacteria","MOTT-02","SAMN02603184","PRJNA82153","GCA_000277145.1","Complete",5.4097,68.1,"chromosome:NC_016947.1/CP003323.1",,1,5003,"2012-02-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/145/GCA_000277145.1_ASM27714v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/145/GCF_000277145.1_ASM27714v1"
"Mycobacterium sp. THAF192","Bacteria;Terrabacteria group;Actinobacteria","THAF192","SAMN11996133","PRJNA547984","GCA_009363295.1","Complete",6.01659,67.8866,"chromosome:NZ_CP045325.1/CP045325.1; plasmid pTHAF192_a:NZ_CP045326.1/CP045326.1; plasmid pTHAF192_b:NZ_CP045327.1/CP045327.1",,3,5539,"2019-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/363/295/GCA_009363295.1_ASM936329v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/363/295/GCF_009363295.1_ASM936329v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","SJ42","SAMN07274465","PRJNA391747","GCA_002240155.1","Complete",5.93863,67.7763,"chromosome:NZ_CP022223.1/CP022223.1; plasmid unnamed1:NZ_CP022224.1/CP022224.1; plasmid unnamed2:NZ_CP022225.1/CP022225.1",,3,5297,"2017-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/240/155/GCA_002240155.1_ASM224015v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/155/GCF_002240155.1_ASM224015v1"
"Mycobacterium sp. KMS","Bacteria;Terrabacteria group;Actinobacteria","KMS","SAMN02598356","PRJNA16081","GCA_000015405.1","Complete",6.25608,68.1928,"chromosome:NC_008705.1/CP000518.1; plasmid pMKMS01:NC_008703.1/CP000519.1; plasmid pMKMS02:NC_008704.1/CP000520.1",,3,5930,"2006-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/405/GCA_000015405.1_ASM1540v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/405/GCF_000015405.1_ASM1540v1"
"Mycobacterium sp. MOTT36Y","Bacteria;Terrabacteria group;Actinobacteria","MOTT36Y","SAMN02603851","PRJNA156947","GCA_000262165.1","Complete",5.61363,67.9,"chromosome:NC_017904.1/CP003491.1",,1,5126,"2012-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/165/GCA_000262165.1_ASM26216v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/165/GCF_000262165.1_ASM26216v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","FLAC0070","SAMN07528780","PRJNA315990","GCA_002287605.1","Complete",5.75154,67.8403,"chromosome:NZ_CP023151.1/CP023151.1; plasmid pFLAC0070_1:NZ_CP023152.1/CP023152.1; plasmid pFLAC0070_2:NZ_CP023153.1/CP023153.1",,3,5235,"2017-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/605/GCA_002287605.1_ASM228760v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/605/GCF_002287605.1_ASM228760v1"
"Arthrobacter sp. SLBN-53","Bacteria;Terrabacteria group;Actinobacteria","NRRL B-3805","SAMN03396774","PRJNA266535","GCA_001580405.1","Complete",5.42134,66.9,"chromosome:NZ_CP011022.1/CP011022.1",,1,5006,"2016-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/405/GCA_001580405.1_ASM158040v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/580/405/GCF_001580405.1_ASM158040v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","OCU901s_S2_2s","SAMN05862128","PRJNA345418","GCA_002716925.2","Complete",5.1868,69.1,"chromosome:NZ_CP018014.2/CP018014.2",,1,4690,"2017-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/716/925/GCA_002716925.2_ASM271692v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/716/925/GCF_002716925.2_ASM271692v2"
"Mycobacterium sp. QIA-37","Bacteria;Terrabacteria group;Actinobacteria","QIA-37","SAMN04613683","PRJNA263852","GCA_001611855.1","Complete",4.85537,64.1,"chromosome:NZ_CP010071.1/CP010071.1",,1,4620,"2016-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/855/GCA_001611855.1_ASM161185v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/855/GCF_001611855.1_ASM161185v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","HP17","SAMN05506874","PRJNA336241","GCA_002716905.2","Complete",5.10069,69.2,"chromosome:NZ_CP016818.2/CP016818.2",,1,4623,"2017-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/716/905/GCA_002716905.2_ASM271690v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/716/905/GCF_002716905.2_ASM271690v2"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","OCU873s_P7_4s","SAMN05862070","PRJNA345414","GCA_002716965.2","Complete",5.02732,69.2,"chromosome:NZ_CP018020.2/CP018020.2",,1,4563,"2017-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/716/965/GCA_002716965.2_ASM271696v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/716/965/GCF_002716965.2_ASM271696v2"
"Mycobacterium avium","Bacteria;Terrabacteria group;Actinobacteria","HJW","SAMN08892076","PRJNA449244","GCA_003640565.1","Complete",4.96184,69.3,"chromosome:NZ_CP028731.1/CP028731.1",,1,4454,"2018-10-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/640/565/GCA_003640565.1_ASM364056v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/565/GCF_003640565.1_ASM364056v1"
"Mycobacterium avium","Bacteria;Terrabacteria group;Actinobacteria","RCAD0278","SAMN04325949","PRJNA305474","GCA_001683455.1","Complete",4.95361,69.3,"chromosome:NZ_CP016396.1/CP016396.1",,1,4442,"2016-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/455/GCA_001683455.1_ASM168345v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/455/GCF_001683455.1_ASM168345v1"
"Mycobacterium avium subsp. paratuberculosis K-10","Bacteria;Terrabacteria group;Actinobacteria","K-10","SAMN02604086","PRJNA91","GCA_000007865.1","Complete",4.82978,69.3,"chromosome:NC_002944.2/AE016958.1",,1,4316,"2001-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1"
